State_Name,Year,Position,Candidate,Sex,Party,Candidate_Type,Constituency_Name,Constituency_Type,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Last_Party
Assam,2009,1,BIREN SINGH ENGTI,M,INC,ST,AUTONOMOUS DISTRICT,ST,6,69.3,41.17,INC
Assam,2009,1,BADRUDDIN AJMAL,M,AUDF,GEN,DHUBRI,GEN,10,76.31,51.66,
Assam,2009,1,SANSUMA KHUNGGUR BWISWMUTHIARY,M,BOPF,ST,KOKRAJHAR,ST,3,73.65,48.8,IND
Assam,2009,1,ISMAIL HUSSAIN,M,INC,GEN,BARPETA,GEN,14,72.7,35.75,INC
Assam,2009,1,BIJOYA CHAKRAVARTY,F,BJP,GEN,GAUHATI,GEN,12,64.32,44.74,BJP
Assam,2009,1,RAMEN DEKA,M,BJP,GEN,MANGALDOI,GEN,13,69.78,31.15,
Assam,2009,1,JOSEPH TOPPO,M,AGP,GEN,TEZPUR,GEN,15,69.66,41.78,
Assam,2009,1,RAJEN GOHAIN,M,BJP,GEN,NOWGONG,GEN,13,70.81,38.11,BJP
Assam,2009,1,DIP GOGOI,M,INC,GEN,KALIABOR,GEN,8,71.24,45.25,INC
Assam,2009,1,BIJOY KRISHNA HANDIQUE,M,INC,GEN,JORHAT,GEN,8,64.57,47.46,INC
Assam,2009,1,PABAN SINGH GHATOWAR,M,INC,GEN,DIBRUGARH,GEN,10,67.29,47.87,INC
Assam,2009,1,RANEE NARAH,F,INC,GEN,LAKHIMPUR,GEN,15,68.26,38.73,INC
Bihar,2009,1,BAIDYANATH PRASAD MAHTO,M,JD(U),GEN,VALMIKI NAGAR,GEN,16,46.91,46.4,
Bihar,2009,1,DR. SANJAY JAISWAL,M,BJP,GEN,PASCHIM CHAMPARAN,GEN,11,42.22,38.56,
Bihar,2009,1,RADHA MOHAN SINGH,M,BJP,GEN,PURVI CHAMPARAN,GEN,12,40.59,41.74,BJP
Bihar,2009,1,RAMA DEVI,F,BJP,GEN,SHEOHAR,GEN,15,45.09,40.8,RJD
Bihar,2009,1,ARJUN ROY,M,JD(U),GEN,SITAMARHI,GEN,16,42.54,40.36,
Bihar,2009,1,HUKMADEO NARAYAN YADAV,M,BJP,GEN,MADHUBANI,GEN,14,39.83,29.48,BJP
Bihar,2009,1,MANGANI LAL MANDAL,M,JD(U),GEN,JHANJHARPUR,GEN,11,42.84,43.63,
Bihar,2009,1,VISHWA MOHAN KUMAR,M,JD(U),GEN,SUPAUL,GEN,16,54.52,44.96,
Bihar,2009,1,PRADEEP KUMAR SINGH,M,BJP,GEN,ARARIA,GEN,25,55.71,38.71,IND
Bihar,2009,1,MOHAMMAD ASRARUL HAQUE,M,INC,GEN,KISHANGANJ,GEN,15,52.84,38.19,
