State_Name,Year,Position,Candidate,Sex,Party,Constituency_No,Constituency_Name,Candidate_Type,Constituency_Type,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Last_Party
Assam,2009,1,LALIT MOHAN SUKLABAIDYA,M,INC,1,KARIMGANJ,SC,SC,15,64.13,37.89,INC
Assam,2009,1,KABINDRA PURKAYASTHA,M,BJP,2,SILCHAR,GEN,GEN,16,70.37,35.37,BJP
Assam,2009,1,BIREN SINGH ENGTI,M,INC,3,AUTONOMOUS DISTRICT,ST,ST,6,69.3,41.17,INC
Assam,2009,1,BADRUDDIN AJMAL,M,AUDF,4,DHUBRI,GEN,GEN,10,76.31,51.66,
Assam,2009,1,SANSUMA KHUNGGUR BWISWMUTHIARY,M,BOPF,5,KOKRAJHAR,ST,ST,3,73.65,48.8,IND
Assam,2009,1,ISMAIL HUSSAIN,M,INC,6,BARPETA,GEN,GEN,14,72.7,35.75,INC
Assam,2009,1,BIJOYA CHAKRAVARTY,F,BJP,7,GAUHATI,GEN,GEN,12,64.32,44.74,BJP
Assam,2009,1,RAMEN DEKA,M,BJP,8,MANGALDOI,GEN,GEN,13,69.78,31.15,
Assam,2009,1,JOSEPH TOPPO,M,AGP,9,TEZPUR,GEN,GEN,15,69.66,41.78,
Assam,2009,1,RAJEN GOHAIN,M,BJP,10,NOWGONG,GEN,GEN,13,70.81,38.11,BJP
Assam,2009,1,DIP GOGOI,M,INC,11,KALIABOR,GEN,GEN,8,71.24,45.25,INC
Assam,2009,1,BIJOY KRISHNA HANDIQUE,M,INC,12,JORHAT,GEN,GEN,8,64.57,47.46,INC
Assam,2009,1,PABAN SINGH GHATOWAR,M,INC,13,DIBRUGARH,GEN,GEN,10,67.29,47.87,INC
Assam,2009,1,RANEE NARAH,F,INC,14,LAKHIMPUR,GEN,GEN,15,68.26,38.73,INC
Bihar,2009,1,BAIDYANATH PRASAD MAHTO,M,JD(U),1,VALMIKI NAGAR,GEN,GEN,16,46.91,46.4,
Bihar,2009,1,DR. SANJAY JAISWAL,M,BJP,2,PASCHIM CHAMPARAN,GEN,GEN,11,42.22,38.56,
Bihar,2009,1,RADHA MOHAN SINGH,M,BJP,3,PURVI CHAMPARAN,GEN,GEN,12,40.59,41.74,BJP
Bihar,2009,1,RAMA DEVI,F,BJP,4,SHEOHAR,GEN,GEN,15,45.09,40.8,RJD
Bihar,2009,1,ARJUN ROY,M,JD(U),5,SITAMARHI,GEN,GEN,16,42.54,40.36,
Bihar,2009,1,HUKMADEO NARAYAN YADAV,M,BJP,6,MADHUBANI,GEN,GEN,14,39.83,29.48,BJP
Bihar,2009,1,MANGANI LAL MANDAL,M,JD(U),7,JHANJHARPUR,GEN,GEN,11,42.84,43.63,
Bihar,2009,1,VISHWA MOHAN KUMAR,M,JD(U),8,SUPAUL,GEN,GEN,16,54.52,44.96,
Bihar,2009,1,PRADEEP KUMAR SINGH,M,BJP,9,ARARIA,GEN,GEN,25,55.71,38.71,IND
Bihar,2009,1,MOHAMMAD ASRARUL HAQUE,M,INC,10,KISHANGANJ,GEN,GEN,15,52.84,38.19,
Bihar,2009,1,NIKHIL KUMAR CHOUDHARY,M,BJP,11,KATIHAR,GEN,GEN,16,56.95,37.23,BJP
Bihar,2009,1,UDAY SINGH ALIAS PAPPU SINGH,M,BJP,12,PURNIA,GEN,GEN,20,53.99,51.5,BJP
Bihar,2009,1,SHARAD YADAV,M,JD(U),13,MADHEPURA,GEN,GEN,17,50.15,48.99,JD(U)
Bihar,2009,1,KIRTI AZAD,M,BJP,14,DARBHANGA,GEN,GEN,14,41.75,43.85,BJP
Bihar,2009,1,CAPTAIN  JAI NARAYAN PRASAD NISHAD,M,JD(U),15,MUZAFFARPUR,GEN,GEN,24,46.41,31.37,JD(U)
Bihar,2009,1,RAGHUVANSH PRASAD SINGH,M,RJD,16,VAISHALI,GEN,GEN,12,48.86,45.53,RJD
Bihar,2009,1,PURNMASI RAM,M,JD(U),17,GOPALGANJ,SC,SC,16,37.4,39.64,
Bihar,2009,1,OM PRAKASH YADAV,M,IND,18,SIWAN,GEN,GEN,15,50.05,36.8,JD(U)
Bihar,2009,1,UMA SHANAKER SINGH,M,RJD,19,MAHARAJGANJ,GEN,GEN,13,45.69,35.3,
Bihar,2009,1,LALU PRASAD,M,RJD,20,SARAN,GEN,GEN,12,45.79,47.21,RJD
Bihar,2009,1,RAM SUNDAR DAS,M,JD(U),21,HAJIPUR,SC,SC,11,41.83,44.44,SJP(R)
Bihar,2009,1,ASWAMEDH DEVI,F,JD(U),22,UJIARPUR,GEN,GEN,22,45.89,31.92,
Bihar,2009,1,MAHESHWAR HAZARI,M,JD(U),23,SAMASTIPUR,SC,SC,11,44.54,44.37,
Bihar,2009,1,DR. MONAZIR HASSAN,M,JD(U),24,BEGUSARAI,GEN,GEN,19,48.75,28.64,JD(U)
Bihar,2009,1,DINESH CHANDRA YADAV,M,JD(U),25,KHAGARIA,GEN,GEN,18,46.54,42.72,JD(U)
Bihar,2009,1,SYED SHAHNAWAZ HUSSAIN,M,BJP,26,BHAGALPUR,GEN,GEN,21,43.89,36.3,BJP
Bihar,2009,1,DIGVIJAY SINGH,M,IND,27,BANKA,GEN,GEN,16,48.74,28.48,
Bihar,2009,1,RAJIV RANJAN SINGH ALIAS LALAN SINGH,M,JD(U),28,MUNGER,GEN,GEN,20,41.61,57.5,JD(U)
Bihar,2009,1,KAUSHALENDRA KUMAR,M,JD(U),29,NALANDA,GEN,GEN,25,33.05,52.65,
Bihar,2009,1,SHATRUGHAN SINHA,M,BJP,30,PATNA SAHIB,GEN,GEN,16,33.64,57.3,
Bihar,2009,1,RANJAN PRASAD YADAV,M,JD(U),31,PATALIPUTRA,GEN,GEN,16,41.17,42.86,SPVD
Bihar,2009,1,MEENA SINGH,F,JD(U),32,ARRAH,GEN,GEN,16,35.78,38.24,
Bihar,2009,1,JAGADA NAND SINGH,M,RJD,33,BUXAR,GEN,GEN,22,46.51,21.27,
Bihar,2009,1,MEIRA KUMAR,F,INC,34,SASARAM,SC,SC,16,42.7,32.09,INC
Bihar,2009,1,MAHABALI SINGH,M,JD(U),35,KARAKAT,GEN,GEN,16,41.61,34.13,
Bihar,2009,1,JAGDISH SHARMA,M,JD(U),36,JAHANABAD,GEN,GEN,25,46.93,39.18,
Bihar,2009,1,SUSHIL KUMAR SINGH,M,JD(U),37,AURANGABAD,GEN,GEN,16,43.47,43.48,JD(U)
Bihar,2009,1,HARI MANJHI,M,BJP,38,GAYA,SC,SC,16,42.45,43.65,
Bihar,2009,1,BHOLA SINGH,M,BJP,39,NAWADA,GEN,GEN,21,41.62,22.46,
Bihar,2009,1,BHUDEO CHOUDHARY,M,JD(U),40,JAMUI,SC,SC,19,38.13,33.36,
Chandigarh,2009,1,PAWAN KUMAR BANSAL,M,INC,1,CHANDIGARH,GEN,GEN,14,65.51,46.87,INC
Chhattisgarh,2009,1,MURARILAL SINGH,M,BJP,1,SARGUJA,ST,ST,16,61.62,51.73,
Chhattisgarh,2009,1,VISHNU DEO SAI,M,BJP,2,RAIGARH,ST,ST,10,65.31,47.44,BJP
Chhattisgarh,2009,1,SHRIMATI KAMLA DEVI PATLE,F,BJP,3,JANJGIR-CHAMPA,SC,SC,12,48.57,40.96,
Chhattisgarh,2009,1,CHARAN DAS MAHANT,M,INC,4,KORBA,GEN,GEN,18,58.41,42.2,INC
Chhattisgarh,2009,1,DILIP SINGH JUDEV,M,BJP,5,BILASPUR,GEN,GEN,28,52.28,45.18,BJP
Chhattisgarh,2009,1,MADHUSUDAN YADAV,M,BJP,6,RAJNANDGAON,GEN,GEN,14,58.86,52.7,
Chhattisgarh,2009,1,SAROJ PANDEY,F,BJP,7,DURG,GEN,GEN,15,55.88,31.27,
Chhattisgarh,2009,1,RAMESH BAIS,M,BJP,8,RAIPUR,GEN,GEN,32,46.99,49.19,BJP
Chhattisgarh,2009,1,CHANDULAL SAHU (CHANDU BHAIYA),M,BJP,9,MAHASAMUND,GEN,GEN,15,56.69,47.82,
Chhattisgarh,2009,1,BALIRAM KASHYAP,M,BJP,10,BASTAR,ST,ST,7,47.33,44.16,BJP
Chhattisgarh,2009,1,SOHAN POTAI,M,BJP,11,KANKER,ST,ST,11,57.2,45.99,BJP
Dadra_&_Nagar_Haveli,2009,1,PATEL NATUBHAI GOMANBHAI,M,BJP,1,DADAR & NAGAR HAVELI,ST,ST,5,73.23,46.43,
Daman_&_Diu,2009,1,LALUBHAI PATEL,M,BJP,1,DAMAN & DIU,GEN,GEN,7,71.32,65.49,
Delhi,2009,1,KAPIL SIBAL,M,INC,1,CHANDNI CHOWK,GEN,GEN,41,55.21,59.67,INC
Delhi,2009,1,JAI PRAKASH AGARWAL,M,INC,2,NORTH EAST DELHI,GEN,GEN,16,52.35,59.03,INC
Delhi,2009,1,SANDEEP DIKSHIT,M,INC,3,EAST DELHI,GEN,GEN,17,53.43,60.41,INC
Delhi,2009,1,AJAY MAKAN,M,INC,4,NEW DELHI,GEN,GEN,40,55.71,59.59,INC
Delhi,2009,1,KRISHNA TIRATH,F,INC,5,NORTH WEST  DELHI,SC,SC,16,47.69,56.84,INC
Delhi,2009,1,MAHABAL MISHRA,M,INC,6,WEST  DELHI,GEN,GEN,15,52.34,54.32,
Delhi,2009,1,RAMESH KUMAR,M,INC,7,SOUTH DELHI,GEN,GEN,15,47.41,49.27,
Goa,2009,1,SHRIPAD YESSO NAIK,M,BJP,1,NORTH GOA,GEN,GEN,7,60.02,47.12,BJP
Goa,2009,1,COSME FRANCISCO CAITANO SARDINHA,M,INC,2,SOUTH GOA,GEN,GEN,11,50.95,46.88,INC
Gujarat,2009,1,JAT POONAMBEN VELJIBHAI,F,BJP,1,KACHCHH,SC,SC,17,42.55,50.58,
Gujarat,2009,1,GADHVI MUKESHKUMAR BHEIRAVDANJI,M,INC,2,BANASKANTHA,GEN,GEN,15,49.83,44.78,
Gujarat,2009,1,JAGDISH THAKOR,M,INC,3,PATAN,GEN,GEN,16,44.67,44.82,
Gujarat,2009,1,PATEL JAYSHREEBEN KANUBHAI,F,BJP,4,MAHESANA,GEN,GEN,12,49.69,48.31,
Gujarat,2009,1,CHAUHAN MAHENDRASINH,M,BJP,5,SABARKANTHA,GEN,GEN,12,49.41,47.02,
Gujarat,2009,1,L.K.ADVANI,M,BJP,6,GANDHINAGAR,GEN,GEN,19,50.83,54.89,BJP
Gujarat,2009,1,HARIN PATHAK,M,BJP,7,AHMEDABAD EAST,GEN,GEN,18,42.32,53.37,BJP
Gujarat,2009,1,DR. SOLANKI KIRITBHAI PREMAJIBHAI,M,BJP,8,AHMEDABAD WEST,SC,SC,16,48.22,54.61,
Gujarat,2009,1,KOLI PATEL SOMABHAI GANDALAL,M,INC,9,SURENDRANAGAR,GEN,GEN,20,39.73,42.25,BJP
Gujarat,2009,1,KUVARJIBHAI MOHANBHAI BAVALIA,M,INC,10,RAJKOT,GEN,GEN,27,44.64,47.34,
Gujarat,2009,1,RADADIYA VITTHALBHAI HANSRAJBHAI,M,INC,11,PORBANDAR,GEN,GEN,7,47.67,49.87,INC
Gujarat,2009,1,AHIR VIKRAMBHAI ARJANBHAI MADAM,M,INC,12,JAMNAGAR,GEN,GEN,22,45.79,47.33,INC
Gujarat,2009,1,SOLANKI DINUBHAI BOGHABHAI,M,BJP,13,JUNAGADH,GEN,GEN,16,57.88,46.75,
Gujarat,2009,1,KACHHADIA NARANBHAI,M,BJP,14,AMRELI,GEN,GEN,16,39.96,47.21,
Gujarat,2009,1,RAJENDRASINH GHANSHYAMSINH RANA (RAJUBHAI RANA),M,BJP,15,BHAVNAGAR,GEN,GEN,16,45.11,34.23,BJP
Gujarat,2009,1,SOLANKI BHARATBHAI MADHAVSINH,M,INC,16,ANAND,GEN,GEN,15,48.39,51.57,INC
Gujarat,2009,1,DINSHA PATEL,M,INC,17,KHEDA,GEN,GEN,9,41.6,47.12,INC
Gujarat,2009,1,CHAUHAN PRABHATSINH PRATAPSINH,M,BJP,18,PANCHMAHAL,GEN,GEN,5,42.62,46.5,INC
Gujarat,2009,1,DR. PRABHA KISHOR TAVIAD,F,INC,19,DAHOD,ST,ST,7,44.73,46.89,INC
Gujarat,2009,1,BALKRISHNA  KHANDERAO SHUKLA (BALU SHUKLA),M,BJP,20,VADODARA,GEN,GEN,7,49.02,57.4,
Gujarat,2009,1,RATHWA RAMSINGBHAI PATALBHAI,M,BJP,21,CHHOTA UDAIPUR,ST,ST,4,54.18,46.2,BJP
Gujarat,2009,1,MANSUKHBHAI DHANJIBHAI VASAVA,M,BJP,22,BHARUCH,GEN,GEN,15,57.14,41.5,BJP
Gujarat,2009,1,CHAUDHARI TUSHARBHAI AMRASINHBHAI,M,INC,23,BARDOLI,ST,ST,12,57.81,47.86,INC
Gujarat,2009,1,SHRIMATI DARSHANA VIKRAM JARDOSH,F,BJP,24,SURAT,GEN,GEN,15,48.97,52.45,
Gujarat,2009,1,C. R. PATIL,M,BJP,25,NAVSARI,GEN,GEN,14,46.66,55.89,
Gujarat,2009,1,KISHANBHAI VESTABHAI PATEL,M,INC,26,VALSAD,ST,ST,7,56.11,46.2,INC
Haryana,2009,1,SELJA,F,INC,1,AMBALA,SC,SC,7,68.51,37.19,INC
Haryana,2009,1,NAVEEN JINDAL,M,INC,2,KURUKSHETRA,GEN,GEN,14,75.04,45.37,INC
Haryana,2009,1,ASHOK TANWAR,M,INC,3,SIRSA,SC,SC,15,74.93,42.35,
Haryana,2009,1,BHAJAN LAL S/O KHERAJ,M,HJCBL,4,HISAR,GEN,GEN,38,69.35,29.99,INC
