State_Name,Year,Position,Candidate,Sex,Party,Constituency_No,Constituency_Name,Candidate_Type,Constituency_Type,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Last_Party
Andaman_&_Nicobar_Islands,2014,1,BISHNU PADA RAY,M,BJP,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,47.8,BJP
Andaman_&_Nicobar_Islands,2014,2,KULDEEP RAI SHARMA,M,INC,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,43.69,INC
Andaman_&_Nicobar_Islands,2014,3,SANJAY MESHACK,M,AAAP,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,1.96,
Andaman_&_Nicobar_Islands,2014,4,ANITA MONDAL,F,AITC,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,1.2,
Andaman_&_Nicobar_Islands,2014,5,K.G.DAS,M,CPM,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,0.93,
Andaman_&_Nicobar_Islands,2014,6,PRAKASH MINJ,M,IND,1,ANDAMAN & NICOBAR ISLANDS,ST,GEN,15,70.66,0.83,
Andaman_&_Nicobar_Islands,2014,7,None of the Above,NOTA,NOTA,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,70.66,0.82,
Andaman_&_Nicobar_Islands,2014,8,R.S.UMA BHARATTHY,F,NCP,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,0.6,NCP
Andaman_&_Nicobar_Islands,2014,9,GOUR CHANDRA MAJUMDER,M,BSP,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,0.6,IND
Andaman_&_Nicobar_Islands,2014,10,SARAVANAN,M,IND,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,0.45,
Andaman_&_Nicobar_Islands,2014,11,N K P NAIR,M,CPI(ML)(L),1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,0.23,
Andaman_&_Nicobar_Islands,2014,12,V V KHALID,M,IND,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,0.23,
Andaman_&_Nicobar_Islands,2014,13,RAGHUBIR SINGH,M,SP,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,0.2,
